2025-05-19 15:53:11,902 - INFO - 系统 CPU: 0.3%, 内存: 34.9%, 连接: 137 (已建立: 65, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:53:43,164 - INFO - 系统 CPU: 0.8%, 内存: 34.5%, 连接: 147 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:54:14,426 - INFO - 系统 CPU: 0.5%, 内存: 34.5%, 连接: 148 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:54:45,685 - INFO - 系统 CPU: 0.5%, 内存: 34.6%, 连接: 144 (已建立: 66, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:55:16,947 - INFO - 系统 CPU: 0.0%, 内存: 34.7%, 连接: 140 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 7), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:55:48,208 - INFO - 系统 CPU: 0.5%, 内存: 34.7%, 连接: 141 (已建立: 66, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:56:19,467 - INFO - 系统 CPU: 0.3%, 内存: 34.5%, 连接: 145 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 16), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:56:50,726 - INFO - 系统 CPU: 1.3%, 内存: 35.0%, 连接: 138 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:57:21,987 - INFO - 系统 CPU: 0.3%, 内存: 34.6%, 连接: 140 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:57:53,251 - INFO - 系统 CPU: 0.5%, 内存: 34.4%, 连接: 139 (已建立: 65, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:58:24,510 - INFO - 系统 CPU: 0.5%, 内存: 34.5%, 连接: 136 (已建立: 63, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:58:55,771 - INFO - 系统 CPU: 0.5%, 内存: 35.3%, 连接: 142 (已建立: 64, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:59:27,031 - INFO - 系统 CPU: 0.8%, 内存: 34.8%, 连接: 139 (已建立: 64, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:59:58,292 - INFO - 系统 CPU: 0.0%, 内存: 35.1%, 连接: 138 (已建立: 63, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:00:29,549 - INFO - 系统 CPU: 0.5%, 内存: 34.9%, 连接: 140 (已建立: 63, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:01:00,807 - INFO - 系统 CPU: 0.8%, 内存: 34.6%, 连接: 143 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:01:32,094 - INFO - 系统 CPU: 0.8%, 内存: 34.6%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:02:03,357 - INFO - 系统 CPU: 0.5%, 内存: 35.1%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:02:34,618 - INFO - 系统 CPU: 0.5%, 内存: 34.9%, 连接: 143 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:03:05,879 - INFO - 系统 CPU: 0.0%, 内存: 34.8%, 连接: 140 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:03:37,141 - INFO - 系统 CPU: 0.5%, 内存: 34.9%, 连接: 141 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 8), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:04:08,406 - INFO - 系统 CPU: 0.5%, 内存: 35.9%, 连接: 147 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:04:39,666 - INFO - 系统 CPU: 0.5%, 内存: 35.1%, 连接: 149 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:05:10,929 - INFO - 系统 CPU: 0.2%, 内存: 35.1%, 连接: 138 (已建立: 64, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:05:42,191 - INFO - 系统 CPU: 0.5%, 内存: 34.7%, 连接: 141 (已建立: 68, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:06:13,452 - INFO - 系统 CPU: 0.5%, 内存: 34.7%, 连接: 144 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:06:44,742 - INFO - 系统 CPU: 0.5%, 内存: 34.6%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:07:16,033 - INFO - 系统 CPU: 0.5%, 内存: 34.5%, 连接: 144 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:07:47,296 - INFO - 系统 CPU: 0.2%, 内存: 34.5%, 连接: 145 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:08:18,555 - INFO - 系统 CPU: 0.0%, 内存: 34.5%, 连接: 143 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:08:49,817 - INFO - 系统 CPU: 0.0%, 内存: 34.5%, 连接: 141 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 8), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:09:21,077 - INFO - 系统 CPU: 0.2%, 内存: 34.4%, 连接: 151 (已建立: 77, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:09:52,336 - INFO - 系统 CPU: 0.5%, 内存: 35.0%, 连接: 146 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 15), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:10:23,597 - INFO - 系统 CPU: 0.0%, 内存: 34.8%, 连接: 146 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:10:54,886 - INFO - 系统 CPU: 1.8%, 内存: 34.8%, 连接: 136 (已建立: 64, CLOSE_WAIT: 0, TIME_WAIT: 7), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:11:26,149 - INFO - 系统 CPU: 0.3%, 内存: 34.8%, 连接: 146 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:11:57,407 - INFO - 系统 CPU: 0.5%, 内存: 35.0%, 连接: 147 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 15), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:12:28,665 - INFO - 系统 CPU: 0.3%, 内存: 34.9%, 连接: 144 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:12:59,923 - INFO - 系统 CPU: 0.3%, 内存: 35.4%, 连接: 145 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:13:31,184 - INFO - 系统 CPU: 0.2%, 内存: 35.5%, 连接: 142 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:14:02,444 - INFO - 系统 CPU: 0.3%, 内存: 35.4%, 连接: 144 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:14:33,734 - INFO - 系统 CPU: 1.0%, 内存: 35.5%, 连接: 148 (已建立: 74, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:15:05,027 - INFO - 系统 CPU: 0.8%, 内存: 35.6%, 连接: 148 (已建立: 74, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:15:36,291 - INFO - 系统 CPU: 0.3%, 内存: 35.1%, 连接: 144 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:16:07,549 - INFO - 系统 CPU: 1.8%, 内存: 27.7%, 连接: 139 (已建立: 34, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 16:16:38,805 - INFO - 系统 CPU: 0.5%, 内存: 27.5%, 连接: 140 (已建立: 38, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
